config,kv,spec,backend,prefix_cache,chunk,context_tokens,prefill_tps,decode_tps,peak_tps,ttft_ms
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,0,426.72,18.63,26.0,1630.0
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,512,646.29,15.27,25.0,1654.9
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,1024,615.71,14.57,23.5,2499.4
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,2048,479.71,16.75,25.0,5048.2
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,3072,606.6,15.68,22.5,5455.3
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,4096,621.82,16.23,25.5,6789.6
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,6144,631.2,17.01,24.5,9769.1
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,8192,624.73,17.34,25.0,12691.2
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,12288,618.69,15.58,22.0,18829.8
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,16384,615.54,15.69,24.0,25026.4
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,24576,614.1,17.48,24.5,37065.8
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,32768,601.62,16.13,25.0,49903.3
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,49152,585.88,18.72,26.5,76150.6
N_mtp3,fp8,MTP n=3,marlin/flashinfer,on,default,65536,570.37,15.98,24.5,105145.4
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,0,943.39,18.44,21.5,1163.2
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,512,888.47,14.14,17.5,1521.6
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,1024,708.94,15.01,18.0,2368.5
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,2048,669.63,15.04,18.0,3879.6
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,3072,660.02,14.28,17.5,5322.7
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,4096,602.2,14.97,18.0,7483.9
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,6144,659.08,15.1,18.0,9668.8
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,8192,644.9,15.61,18.0,12587.9
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,12288,632.47,15.49,18.0,18571.5
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,16384,629.46,14.65,18.0,24680.2
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,24576,618.97,15.18,18.0,36844.7
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,32768,603.86,14.69,17.5,50269.1
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,49152,589.16,14.83,17.5,76612.9
N_mtp1,fp8,MTP n=1,marlin/flashinfer,on,default,65536,574.22,15.59,19.0,104020.2
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,0,765.29,12.51,14.0,862.5
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,512,753.83,11.91,13.0,1501.0
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,1024,673.17,11.97,13.0,2291.3
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,2048,667.94,11.97,13.0,3695.0
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,3072,657.12,11.96,13.0,5212.9
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,4096,661.86,11.86,13.0,6667.9
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,6144,673.11,11.91,13.0,9182.5
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,8192,663.24,11.86,13.0,11926.3
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,12288,651.54,11.83,12.5,18016.3
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,16384,648.02,11.82,13.0,23819.9
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,24576,638.5,11.8,13.0,35720.2
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,32768,629.09,11.77,13.5,47897.2
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,49152,615.38,11.7,13.0,73293.4
N_nospec,fp8,none (n=0),marlin/flashinfer,on,default,65536,599.12,11.68,13.5,99740.0
